Tension,Albania,Algeria,Andorra,Armenia,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Egypt,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iraq,Ireland,Israel,Italy,Jordan,Kosovo,Kurdistan,Latvia,Lebanon,Libyan Government of National Stability,Libyan Government of National Unity,Lithuania,Luxembourg,Moldova,Montenegro,Morocco,Netherlands,North Macedonia,Norway,Palestine,Poland,Portugal,Romania,Russia,Saudi Arabia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Syria,Tunisia,Türkiye,United Kingdom,Ukraine
Denmark,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,4,5,2,4,2,4,2,4,4,2,5,2,2,6,2,2,4,4,1,2,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurdistan,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libyan Government of National Stability,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libyan Government of National Unity,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,
Morocco,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
Netherlands,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
North Macedonia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,2,3,3,3,3,3,3,5,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Norway,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
Palestine,2,1,4,1,4,2,4,2,2,4,1,4,4,0,4,4,2,2,5,4,4,1,1,8,4,1,4,1,4,1,1,1,4,2,4,2,1,4,4,2,,,,,,,,,,,,,,,,,
Poland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,2,,,,,,,,,,,,,,,,
Portugal,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,2,2,3,,,,,,,,,,,,,,,
Romania,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,2,3,3,,,,,,,,,,,,,,
Russia,5,1,5,5,5,5,5,5,5,5,5,5,5,3,6,5,5,7,5,5,3,3,5,4,5,3,5,3,7,3,5,3,7,5,7,4,3,5,3,5,2,7,4,4,,,,,,,,,,,,,
Saudi Arabia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,1,3,3,3,3,,,,,,,,,,,,
Serbia,5,3,3,3,3,3,3,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,6,3,3,3,5,3,3,3,3,3,3,3,5,3,2,3,3,3,3,3,,,,,,,,,,,
Slovakia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,,,,,,,,,,
Slovenia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,4,3,,,,,,,,,
Spain,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,,,,,,,,
Sweden,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,2,3,3,3,5,3,3,3,3,3,,,,,,,
Switzerland,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
Syria,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,3,6,3,3,5,3,3,3,3,3,3,3,3,3,1,3,3,3,4,3,3,3,3,3,3,3,,,,,
Tunisia,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,,,,
Türkiye,3,3,3,5,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,6,3,4,3,5,3,3,3,8,3,3,5,3,3,3,3,3,3,3,3,3,1,3,3,3,4,4,3,3,3,3,3,3,3,3,,,
United Kingdom,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,1,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,,
Ukraine,1,3,3,4,1,7,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,3,1,2,1,3,1,3,1,3,5,3,1,1,1,1,1,1,1,1,2,0,1,1,9,3,1,3,1,3,1,3,2,3,1,1,
